bb,27.0254,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.0254,4.000,1.000,1.600,0.000,0.000,0.000,1.000
E,27.0254,3.435,1.482,1.102,0.168,-0.739,0.211,0.617
RC,27.0254,3.368,0.724,1.313,0.212,-0.706,0.217,0.639
LF,27.0254,3.569,0.165,1.035,0.646,0.759,-0.082,0.004
RF,27.0254,3.569,0.164,1.251,0.031,-0.002,-0.608,0.794
LC,27.0254,3.398,0.732,0.903,0.347,-0.614,0.031,0.708
bb,27.13365,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.13365,3.993,1.000,1.600,0.000,0.000,0.000,1.000
E,27.13365,3.439,1.488,1.105,0.155,-0.756,0.201,0.604
RC,27.13365,3.359,0.742,1.329,0.142,-0.732,0.213,0.631
LF,27.13365,3.575,0.164,1.035,0.675,0.732,-0.087,0.008
RF,27.13365,3.578,0.156,1.254,0.054,-0.004,-0.633,0.772
LC,27.13365,3.406,0.738,0.875,0.368,-0.637,0.030,0.677
bb,27.24331,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.24331,3.974,1.000,1.600,0.000,0.000,0.000,1.000
E,27.24331,3.444,1.487,1.108,0.145,-0.765,0.198,0.596
RC,27.24331,3.363,0.739,1.329,0.120,-0.772,0.236,0.578
LF,27.24331,3.581,0.163,1.035,0.698,0.711,-0.084,0.021
RF,27.24331,3.579,0.152,1.255,0.083,-0.031,-0.647,0.757
LC,27.24331,3.402,0.738,0.857,0.396,-0.649,-0.002,0.649
bb,27.35531,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.35531,3.943,1.000,1.600,0.000,0.000,0.000,1.000
E,27.35531,3.450,1.488,1.111,0.145,-0.766,0.199,0.594
RC,27.35531,3.391,0.725,1.311,0.001,-0.836,0.350,0.422
LF,27.35531,3.580,0.163,1.037,0.695,0.714,-0.083,0.013
RF,27.35531,3.580,0.153,1.255,0.090,-0.024,-0.667,0.739
LC,27.35531,3.405,0.741,0.869,0.392,-0.659,0.008,0.641
bb,27.465,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.465,3.903,1.000,1.600,0.000,0.000,0.000,1.000
E,27.465,3.452,1.486,1.116,0.146,-0.762,0.200,0.598
RC,27.465,3.398,0.714,1.307,0.055,-0.811,0.353,0.464
LF,27.465,3.582,0.161,1.038,0.699,0.710,-0.082,0.012
RF,27.465,3.581,0.152,1.256,0.098,-0.021,-0.678,0.728
LC,27.465,3.413,0.737,0.909,0.373,-0.634,-0.005,0.678
bb,27.5758,1.588,0.296,1.627,0.000,0.000,0.000,1.000
sw,27.5758,3.853,1.000,1.600,0.000,0.000,0.000,1.000
