bb,19.11917,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.11917,3.195,1.000,1.600,0.000,0.000,0.000,1.000
E,19.11917,3.413,1.514,1.571,0.045,-0.706,0.063,0.704
RC,19.11917,3.370,0.711,1.767,0.051,-0.717,0.387,0.578
LF,19.11917,3.539,0.155,1.454,0.676,0.732,-0.092,0.001
RF,19.11917,3.557,0.158,1.677,0.050,0.021,-0.671,0.739
LC,19.11917,3.291,0.739,1.342,0.326,-0.688,0.251,0.598
bb,19.22469,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.22469,3.178,1.000,1.600,0.000,0.000,0.000,1.000
E,19.22469,3.410,1.516,1.568,0.040,-0.713,0.056,0.697
RC,19.22469,3.269,0.842,1.842,0.079,-0.435,0.004,0.897
LF,19.22469,3.539,0.155,1.453,0.679,0.728,-0.093,0.003
RF,19.22469,3.556,0.158,1.676,0.049,0.019,-0.672,0.739
LC,19.22469,3.185,0.876,1.341,0.104,-0.715,0.057,0.689
bb,19.32615,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.32615,3.152,1.000,1.600,0.000,0.000,0.000,1.000
E,19.32615,3.412,1.512,1.572,0.057,-0.718,0.069,0.690
RC,19.32615,3.222,1.112,1.887,-0.079,-0.327,-0.440,0.833
LF,19.32615,3.540,0.155,1.452,0.681,0.727,-0.093,0.004
RF,19.32615,3.556,0.158,1.676,0.052,0.019,-0.673,0.738
LC,19.32615,3.132,1.089,1.339,-0.198,-0.732,-0.082,0.646
bb,19.4349,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.4349,3.114,1.000,1.600,0.000,0.000,0.000,1.000
E,19.4349,3.419,1.507,1.573,0.073,-0.719,0.085,0.686
RC,19.4349,3.267,1.364,1.881,-0.236,-0.318,-0.670,0.628
LF,19.4349,3.539,0.156,1.452,0.680,0.727,-0.093,0.002
RF,19.4349,3.556,0.158,1.676,0.054,0.021,-0.679,0.732
LC,19.4349,3.172,1.350,1.344,-0.496,-0.612,-0.233,0.570
bb,19.53497,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.53497,3.072,1.000,1.600,0.000,0.000,0.000,1.000
E,19.53497,3.425,1.493,1.574,0.099,-0.724,0.126,0.671
RC,19.53497,3.339,1.489,1.835,-0.377,-0.271,-0.723,0.511
LF,19.53497,3.538,0.156,1.452,0.680,0.727,-0.093,0.000
RF,19.53497,3.556,0.158,1.677,0.059,0.022,-0.681,0.730
LC,19.53497,3.256,1.486,1.364,-0.577,-0.573,-0.374,0.445
bb,19.64633,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.64633,3.017,1.000,1.600,0.000,0.000,0.000,1.000
E,19.64633,3.429,1.478,1.576,0.130,-0.729,0.158,0.654
RC,19.64633,3.373,1.536,1.798,-0.373,-0.295,-0.761,0.442
LF,19.64633,3.539,0.156,1.453,-0.680,-0.727,0.090,0.001
RF,19.64633,3.556,0.158,1.677,0.059,0.024,-0.681,0.729
LC,19.64633,3.306,1.533,1.378,-0.664,-0.514,-0.329,0.433
bb,19.75768,1.199,0.296,1.560,0.000,0.000,0.000,1.000
sw,19.75768,2.956,1.000,1.600,0.000,0.000,0.000,1.000
E,19.75768,3.432,1.456,1.580,0.185,-0.719,0.217,0.634
RC,19.75768,3.366,1.536,1.770,-0.359,-0.372,-0.730,0.447
LF,19.75768,3.541,0.155,1.455,-0.683,-0.725,0.087,0.004
RF,19.75768,3.558,0.157,1.678,0.063,0.024,-0.683,0.727
