Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(1.1008, 0.0949, 1.9200)*CollisionTracker_RF*(0.0456, -0.0645, -0.0546) *(2.7328, 0.2157, -3.3858)*(1.0619, 0.0356, 1.9933)*Foot*(1.1765, 0.1347, 1.9163), 628.5209
collide*(0.9176, 0.0829, 1.3445)*CollisionTracker_RF*(-0.5273, -0.5497, -2.3094) *(1.5265, -4.1818, -3.5473)*(0.8390, 0.1394, 1.4088)*Foot*(0.9438, 0.0421, 1.2575), 629.382
collide*(0.9052, 0.1036, 1.3562)*CollisionTracker_LF*(-0.0015, -0.0920, -0.0236) *(-0.0210, -0.4143, 0.1507)*(0.9438, 0.0421, 1.2575)*Foot*(0.8383, 0.1412, 1.4097), 629.3868
collide*(0.8893, 0.0353, 0.8282)*CollisionTracker_LF*(-0.3694, -0.0789, -2.1246) *(-1.1897, -5.2354, -9.2194)*(0.9360, 0.0573, 0.8583)*Foot*(0.8111, 0.0205, 0.8282), 630.0816
collide*(0.8610, 0.0449, 0.8292)*CollisionTracker_RF*(-0.0080, -0.0488, 0.0337) *(-0.3582, 0.1287, 0.4174)*(0.8120, 0.0196, 0.8264)*Foot*(0.9360, 0.0573, 0.8583), 630.0864
collide*(0.7336, -0.0051, -0.2387)*CollisionTracker_RF*(0.0298, -0.0106, 0.0465) *(0.5324, 0.3151, 0.5218)*(0.7843, 0.0193, -0.2660)*Foot*(0.6651, 0.0125, -0.1721), 631.8253
collide*(0.7070, 0.0400, -0.2496)*CollisionTracker_LF*(-0.2263, -0.0540, -0.3417) *(1.1028, 1.4830, 4.6921)*(0.6651, 0.0125, -0.1721)*Foot*(0.7832, 0.0205, -0.2674), 631.8307
collide*(0.7217, 0.0198, -0.2406)*CollisionTracker_LF*(-0.1042, -0.0504, -0.0035) *(8.5069, 3.4644, -0.2007)*(0.6432, 0.0042, -0.1625)*Foot*(0.7861, 0.0215, -0.2630), 631.9943
collide*(0.7314, -0.0162, -0.2386)*CollisionTracker_RF*(0.0152, 0.0114, 0.0056) *(0.0611, -0.3938, -0.2863)*(0.7871, 0.0204, -0.2615)*Foot*(0.6432, 0.0042, -0.1625), 631.9989
collide*(0.8530, 0.0095, -0.3389)*CollisionTracker_RF*(0.0169, 0.0145, 0.0037) *(-0.0949, 0.0138, 0.7684)*(0.9433, 0.0301, -0.3835)*Foot*(0.7994, 0.0160, -0.3728), 633.7902
collide*(0.8523, 0.0337, -0.3941)*CollisionTracker_LF*(0.4346, -0.0900, -0.6701) *(-0.9934, 1.4274, 6.7399)*(0.7994, 0.0160, -0.3728)*Foot*(0.9444, 0.0310, -0.3851), 633.7948
collide*(0.8658, 0.0081, -0.3689)*CollisionTracker_RF*(0.0038, 0.0019, 0.0022) *(-0.2617, -0.4751, -0.6292)*(0.9691, 0.0255, -0.4278)*Foot*(0.7984, 0.0287, -0.2883), 636.1124
collide*(0.8691, 0.0216, -0.3770)*CollisionTracker_LF*(0.0073, 0.1425, 0.6470) *(-1.2730, 0.5690, 7.4889)*(0.7984, 0.0287, -0.2883)*Foot*(0.9703, 0.0265, -0.4293), 636.1175
collide*(0.8644, 0.0347, -0.0526)*CollisionTracker_RF*(-0.0208, -0.0185, 0.3437) *(-0.6446, -1.4120, -8.5050)*(0.9623, 0.0431, -0.1141)*Foot*(0.8117, 0.0390, -0.0647), 637.2263
collide*(0.8610, 0.0424, -0.1149)*CollisionTracker_LF*(0.0042, -0.0502, -0.0147) *(-0.1157, -0.4493, -0.5390)*(0.8117, 0.0382, -0.0651)*Foot*(0.9629, 0.0431, -0.1164), 637.2376
collide*(0.8648, 0.0295, -0.0558)*CollisionTracker_RF*(-0.0420, -0.0577, 0.0359) *(-3.8646, 0.3385, 1.1036)*(0.9605, 0.0366, -0.1217)*Foot*(0.8127, 0.0346, -0.0675), 637.3006
collide*(0.8559, 0.0262, 0.0208)*CollisionTracker_RF*(-0.0878, 0.0083, 0.4710) *(0.5716, 0.3930, -0.5806)*(0.9476, 0.0379, -0.0491)*Foot*(0.8047, 0.0312, -0.0013), 638.623
collide*(0.8579, 0.0374, -0.0518)*CollisionTracker_LF*(-0.0100, -0.0090, -0.0137) *(0.0242, 0.1198, 0.1536)*(0.8046, 0.0312, -0.0013)*Foot*(0.9478, 0.0389, -0.0459), 638.6344
collide*(0.8562, 0.0229, 0.0228)*CollisionTracker_RF*(0.0026, -0.0591, 0.0120) *(-0.9494, -0.4322, 0.2065)*(0.9431, 0.0311, -0.0409)*Foot*(0.8021, 0.0281, -0.0030), 638.7682
collide*(0.8552, 0.0319, -0.0480)*CollisionTracker_LF*(-0.0218, -0.0286, -0.0127) *(0.0557, -0.2898, -0.0022)*(0.8019, 0.0276, -0.0032)*Foot*(0.9430, 0.0313, -0.0419), 638.7806
collide*(0.8489, 0.0308, -0.0399)*CollisionTracker_LF*(-0.0147, 0.0223, 0.0770) *(1.5093, 0.7801, 0.5614)*(0.7910, 0.0295, 0.0557)*Foot*(0.9398, 0.0264, -0.0392), 639.3342
collide*(0.8508, 0.0302, -0.0389)*CollisionTracker_LF*(0.0230, 0.0326, 0.0040) *(1.7110, 0.4555, -0.1168)*(0.7920, 0.0334, 0.0564)*Foot*(0.9407, 0.0281, -0.0397), 639.445
Subject navigating course: True, 642.5676
Back on course, 642.5805
collide*(0.8664, 0.0133, 0.3271)*CollisionTracker_LF*(-0.0625, 0.0955, 1.3812) *(0.8152, 5.5406, 17.3255)*(0.7756, 0.0429, 0.3982)*Foot*(0.9577, 0.0185, 0.2965), 644.787
collide*(0.8533, 0.0216, 0.3463)*CollisionTracker_RF*(-0.0193, -0.0071, 0.0065) *(-0.2515, -0.1257, -0.4089)*(0.9564, 0.0176, 0.2979)*Foot*(0.7756, 0.0429, 0.3982), 644.7924
collide*(0.8823, 0.0354, 0.4584)*CollisionTracker_LF*(0.0149, -0.0361, 0.0042) *(-1.1902, -1.0443, -0.6084)*(0.7936, 0.0321, 0.5271)*Foot*(0.9797, 0.0480, 0.4139), 645.5192
collide*(0.8806, 0.0433, 0.4688)*CollisionTracker_RF*(-0.0102, 0.0205, 0.9111) *(-2.0920, -1.6908, 5.9110)*(0.9787, 0.0465, 0.4150)*Foot*(0.7936, 0.0321, 0.5271), 645.5239
collide*(0.5045, 0.0805, 0.7187)*CollisionTracker_RF*(-1.0712, -0.1130, 0.1543) *(-5.4230, -3.6792, 0.9725)*(0.5995, 0.0761, 0.7815)*Foot*(0.4004, 0.0504, 0.6906), 647.0958
